Segment,AnnualFee,CashBackRate,IntroAPR,DigitalFeature,APR,Perk,Profit
All,$0 ,1%,0% for 18 months,Spend Insights,15%,Airport Lounge,-55.24495253
All,$0 ,1%,0% for 18 months,Spend Insights,15%,Travel Insurance,-55.23373363
All,$0 ,1%,0% for 18 months,Spend Insights,20%,None,258.4222187
All,$0 ,1%,0% for 18 months,Spend Insights,20%,Airport Lounge,209.1000579
All,$0 ,1%,0% for 18 months,Spend Insights,20%,Travel Insurance,209.0310817
All,$0 ,1%,0% for 18 months,Spend Insights,25%,None,345.8728899
All,$0 ,1%,0% for 18 months,Spend Insights,25%,Airport Lounge,348.4477863
All,$0 ,1%,0% for 18 months,Spend Insights,25%,Travel Insurance,348.2620638
All,$0 ,1%,0% for 18 months,Spend Insights,30%,None,289.5181983
All,$0 ,1%,0% for 18 months,Spend Insights,30%,Airport Lounge,344.6741303
All,$0 ,1%,0% for 18 months,Spend Insights,30%,Travel Insurance,344.3548923
All,$0 ,1%,0% for 18 months,Budget Coaching,15%,None,25.68447568
All,$0 ,1%,0% for 18 months,Budget Coaching,15%,Airport Lounge,-64.89565569
All,$0 ,1%,0% for 18 months,Budget Coaching,15%,Travel Insurance,-64.88352966
All,$0 ,1%,0% for 18 months,Budget Coaching,20%,None,256.117263
All,$0 ,1%,0% for 18 months,Budget Coaching,20%,Airport Lounge,202.6358546
All,$0 ,1%,0% for 18 months,Budget Coaching,20%,Travel Insurance,202.5740842
All,$0 ,1%,0% for 18 months,Budget Coaching,25%,None,350.3208355
All,$0 ,1%,0% for 18 months,Budget Coaching,25%,Airport Lounge,346.7460655
All,$0 ,1%,0% for 18 months,Budget Coaching,25%,Travel Insurance,346.5740868
All,$0 ,1%,0% for 18 months,Budget Coaching,30%,None,299.1103687
All,$0 ,1%,0% for 18 months,Budget Coaching,30%,Airport Lounge,349.1755949
All,$0 ,1%,0% for 18 months,Budget Coaching,30%,Travel Insurance,348.8705331
All,$0 ,2%,None,Basic App,15%,None,473.6594263
All,$0 ,2%,None,Basic App,15%,Airport Lounge,444.4980782
All,$0 ,2%,None,Basic App,15%,Travel Insurance,444.3716551
All,$0 ,2%,None,Basic App,20%,None,617.3051842
All,$0 ,2%,None,Basic App,20%,Airport Lounge,658.7736827
All,$0 ,2%,None,Basic App,20%,Travel Insurance,658.4757571
All,$0 ,2%,None,Basic App,25%,None,606.3188039
All,$0 ,2%,None,Basic App,25%,Airport Lounge,724.0292136
All,$0 ,2%,None,Basic App,25%,Travel Insurance,723.5174676
All,$0 ,2%,None,Basic App,30%,None,435.3874685
All,$0 ,2%,None,Basic App,30%,Airport Lounge,603.6975788
All,$0 ,2%,None,Basic App,30%,Travel Insurance,603.0002886
All,$0 ,2%,None,Spend Insights,15%,None,506.8274477
All,$0 ,2%,None,Spend Insights,15%,Airport Lounge,455.0430255
All,$0 ,2%,None,Spend Insights,15%,Travel Insurance,454.9598389
All,$0 ,2%,None,Spend Insights,20%,None,694.3641461
All,$0 ,2%,None,Spend Insights,20%,Airport Lounge,697.9456641
All,$0 ,2%,None,Spend Insights,20%,Travel Insurance,697.7372863
All,$0 ,2%,None,Spend Insights,25%,None,726.2098555
All,$0 ,2%,None,Spend Insights,25%,Airport Lounge,801.9415053
All,$0 ,2%,None,Spend Insights,25%,Travel Insurance,801.5512657
All,$0 ,2%,None,Spend Insights,30%,None,571.9888625
All,$0 ,2%,None,Spend Insights,30%,Airport Lounge,723.872539
All,$0 ,2%,None,Spend Insights,30%,Travel Insurance,723.2498998
All,$0 ,2%,None,Budget Coaching,15%,None,504.3643764
All,$0 ,2%,None,Budget Coaching,15%,Airport Lounge,448.5138663
All,$0 ,2%,None,Budget Coaching,15%,Travel Insurance,448.4384747
All,$0 ,2%,None,Budget Coaching,20%,None,699.8190053
All,$0 ,2%,None,Budget Coaching,20%,Airport Lounge,696.1009666
All,$0 ,2%,None,Budget Coaching,20%,Travel Insurance,695.9091186
All,$0 ,2%,None,Budget Coaching,25%,None,740.8557107
All,$0 ,2%,None,Budget Coaching,25%,Airport Lounge,807.05255
All,$0 ,2%,None,Budget Coaching,25%,Travel Insurance,806.687682
All,$0 ,2%,None,Budget Coaching,30%,None,593.7557185
All,$0 ,2%,None,Budget Coaching,30%,Airport Lounge,738.6117876
All,$0 ,2%,None,Budget Coaching,30%,Travel Insurance,738.0138834
All,$0 ,2%,0% for 12 months,Basic App,15%,None,89.93242082
All,$0 ,2%,0% for 12 months,Basic App,15%,Airport Lounge,0
All,$0 ,2%,0% for 12 months,Basic App,15%,Travel Insurance,0
All,$0 ,2%,0% for 12 months,Basic App,20%,None,335.5145931
All,$0 ,2%,0% for 12 months,Basic App,20%,Airport Lounge,275.2362121
All,$0 ,2%,0% for 12 months,Basic App,20%,Travel Insurance,275.1779948
All,$0 ,2%,0% for 12 months,Basic App,25%,None,447.1852885
All,$0 ,2%,0% for 12 months,Basic App,25%,Airport Lounge,431.0455502
All,$0 ,2%,0% for 12 months,Basic App,25%,Travel Insurance,430.8932487
All,$0 ,2%,0% for 12 months,Basic App,30%,None,402.981813
All,$0 ,2%,0% for 12 months,Basic App,30%,Airport Lounge,446.0861217
All,$0 ,2%,0% for 12 months,Basic App,30%,Travel Insurance,445.7930309
All,$0 ,2%,0% for 12 months,Spend Insights,15%,None,84.20079821
All,$0 ,2%,0% for 12 months,Spend Insights,15%,Airport Lounge,-9.687656678
All,$0 ,2%,0% for 12 months,Spend Insights,15%,Travel Insurance,-9.68688122
All,$0 ,2%,0% for 12 months,Spend Insights,20%,None,348.7598909
All,$0 ,2%,0% for 12 months,Spend Insights,20%,Airport Lounge,274.789122
All,$0 ,2%,0% for 12 months,Spend Insights,20%,Travel Insurance,274.7521869
All,$0 ,2%,0% for 12 months,Spend Insights,25%,None,487.5055275
All,$0 ,2%,0% for 12 months,Spend Insights,25%,Airport Lounge,446.0953914
All,$0 ,2%,0% for 12 months,Spend Insights,25%,Travel Insurance,445.9929715
All,$0 ,2%,0% for 12 months,Spend Insights,30%,None,474.728634
All,$0 ,2%,0% for 12 months,Spend Insights,30%,Airport Lounge,486.6875719
All,$0 ,2%,0% for 12 months,Spend Insights,30%,Travel Insurance,486.4692496
All,$0 ,2%,0% for 12 months,Budget Coaching,15%,None,75.26307965
All,$0 ,2%,0% for 12 months,Budget Coaching,15%,Airport Lounge,-19.42760628
All,$0 ,2%,0% for 12 months,Budget Coaching,15%,Travel Insurance,-19.42618134
All,$0 ,2%,0% for 12 months,Budget Coaching,20%,None,342.9424577
All,$0 ,2%,0% for 12 months,Budget Coaching,20%,Airport Lounge,266.5183235
All,$0 ,2%,0% for 12 months,Budget Coaching,20%,Travel Insurance,266.4854382
All,$0 ,2%,0% for 12 months,Budget Coaching,25%,None,486.5263229
All,$0 ,2%,0% for 12 months,Budget Coaching,25%,Airport Lounge,440.3919191
All,$0 ,2%,0% for 12 months,Budget Coaching,25%,Travel Insurance,440.2988014
All,$0 ,2%,0% for 12 months,Budget Coaching,30%,None,480.774687
All,$0 ,2%,0% for 12 months,Budget Coaching,30%,Airport Lounge,485.7689285
All,$0 ,2%,0% for 12 months,Budget Coaching,30%,Travel Insurance,485.5667396
All,$0 ,2%,0% for 18 months,Basic App,15%,None,-138.9256881
All,$0 ,2%,0% for 18 months,Basic App,15%,Airport Lounge,-241.0065861
All,$0 ,2%,0% for 18 months,Basic App,15%,Travel Insurance,-240.9843676
All,$0 ,2%,0% for 18 months,Basic App,20%,None,131.9424071
All,$0 ,2%,0% for 18 months,Basic App,20%,Airport Lounge,46.98950572
All,$0 ,2%,0% for 18 months,Basic App,20%,Travel Insurance,46.98225562
All,$0 ,2%,0% for 18 months,Basic App,25%,None,281.5011529
All,$0 ,2%,0% for 18 months,Basic App,25%,Airport Lounge,224.4345061
All,$0 ,2%,0% for 18 months,Basic App,25%,Travel Insurance,224.3756987
All,$0 ,2%,0% for 18 months,Basic App,30%,None,295.113843
All,$0 ,2%,0% for 18 months,Basic App,30%,Airport Lounge,280.9691612
All,$0 ,2%,0% for 18 months,Basic App,30%,Travel Insurance,280.8272042
All,$0 ,2%,0% for 18 months,Spend Insights,15%,None,-152.5199567
All,$0 ,2%,0% for 18 months,Spend Insights,15%,Airport Lounge,-254.1648188
All,$0 ,2%,0% for 18 months,Spend Insights,15%,Travel Insurance,-254.1501999
All,$0 ,2%,0% for 18 months,Spend Insights,20%,None,129.1273147
All,$0 ,2%,0% for 18 months,Spend Insights,20%,Airport Lounge,38.48312262
All,$0 ,2%,0% for 18 months,Spend Insights,20%,Travel Insurance,38.47938271
All,$0 ,2%,0% for 18 months,Spend Insights,25%,None,295.727146
All,$0 ,2%,0% for 18 months,Spend Insights,25%,Airport Lounge,224.2818331
All,$0 ,2%,0% for 18 months,Spend Insights,25%,Travel Insurance,224.2441927
All,$0 ,2%,0% for 18 months,Spend Insights,30%,None,332.6029481
All,$0 ,2%,0% for 18 months,Spend Insights,30%,Airport Lounge,295.355068
All,$0 ,2%,0% for 18 months,Spend Insights,30%,Travel Insurance,295.2557029
All,$0 ,2%,0% for 18 months,Budget Coaching,15%,None,-162.7079715
All,$0 ,2%,0% for 18 months,Budget Coaching,15%,Airport Lounge,-264.4518574
All,$0 ,2%,0% for 18 months,Budget Coaching,15%,Travel Insurance,-264.4379306
All,$0 ,2%,0% for 18 months,Budget Coaching,20%,None,120.7118208
All,$0 ,2%,0% for 18 months,Budget Coaching,20%,Airport Lounge,28.95697331
All,$0 ,2%,0% for 18 months,Budget Coaching,20%,Travel Insurance,28.95439324
All,$0 ,2%,0% for 18 months,Budget Coaching,25%,None,290.2867343
All,$0 ,2%,0% for 18 months,Budget Coaching,25%,Airport Lounge,216.1567313
All,$0 ,2%,0% for 18 months,Budget Coaching,25%,Travel Insurance,216.1233921
All,$0 ,2%,0% for 18 months,Budget Coaching,30%,None,332.0278109
All,$0 ,2%,0% for 18 months,Budget Coaching,30%,Airport Lounge,289.949156
All,$0 ,2%,0% for 18 months,Budget Coaching,30%,Travel Insurance,289.8589933
All,$0 ,3%,None,Basic App,15%,None,350.1948896
All,$0 ,3%,None,Basic App,15%,Airport Lounge,281.2735898
All,$0 ,3%,None,Basic App,15%,Travel Insurance,281.2285978
All,$0 ,3%,None,Basic App,20%,None,562.6207584
All,$0 ,3%,None,Basic App,20%,Airport Lounge,538.4520146
All,$0 ,3%,None,Basic App,20%,Travel Insurance,538.3104881
All,$0 ,3%,None,Basic App,25%,None,627.5524003
All,$0 ,3%,None,Basic App,25%,Airport Lounge,664.8753205
All,$0 ,3%,None,Basic App,25%,Travel Insurance,664.5876209
All,$0 ,3%,None,Basic App,30%,None,516.4271005
All,$0 ,3%,None,Basic App,30%,Airport Lounge,625.7198689
All,$0 ,3%,None,Basic App,30%,Travel Insurance,625.2315147
All,$0 ,3%,None,Spend Insights,15%,None,358.6207367
All,$0 ,3%,None,Spend Insights,15%,Airport Lounge,278.5887709
All,$0 ,3%,None,Spend Insights,15%,Travel Insurance,278.560678
All,$0 ,3%,None,Spend Insights,20%,None,599.8814784
All,$0 ,3%,None,Spend Insights,20%,Airport Lounge,551.23441
All,$0 ,3%,None,Spend Insights,20%,Travel Insurance,551.1415989
All,$0 ,3%,None,Spend Insights,25%,None,702.3904875
All,$0 ,3%,None,Spend Insights,25%,Airport Lounge,702.1992783
All,$0 ,3%,None,Spend Insights,25%,Travel Insurance,701.9993152
All,$0 ,3%,None,Spend Insights,30%,None,628.1336331
All,$0 ,3%,None,Spend Insights,30%,Airport Lounge,700.9609694
All,$0 ,3%,None,Spend Insights,30%,Travel Insurance,700.5795864
All,$0 ,3%,None,Budget Coaching,15%,None,351.8650852
All,$0 ,3%,None,Budget Coaching,15%,Airport Lounge,269.8974797
All,$0 ,3%,None,Budget Coaching,15%,Travel Insurance,269.8725238
All,$0 ,3%,None,Budget Coaching,20%,None,597.9172707
All,$0 ,3%,None,Budget Coaching,20%,Airport Lounge,544.9772278
All,$0 ,3%,None,Budget Coaching,20%,Travel Insurance,544.892899
All,$0 ,3%,None,Budget Coaching,25%,None,707.3480528
All,$0 ,3%,None,Budget Coaching,25%,Airport Lounge,700.0152333
All,$0 ,3%,None,Budget Coaching,25%,Travel Insurance,699.8313051
All,$0 ,3%,None,Budget Coaching,30%,None,642.0119382
All,$0 ,3%,None,Budget Coaching,30%,Airport Lounge,706.0079769
All,$0 ,3%,None,Budget Coaching,30%,Travel Insurance,705.6503925
All,$0 ,3%,0% for 12 months,Basic App,15%,None,-94.36728628
All,$0 ,3%,0% for 12 months,Basic App,15%,Airport Lounge,-194.5635041
All,$0 ,3%,0% for 12 months,Basic App,15%,Travel Insurance,-194.5499503
All,$0 ,3%,0% for 12 months,Basic App,20%,None,181.4092504
All,$0 ,3%,0% for 12 months,Basic App,20%,Airport Lounge,95.42228493
All,$0 ,3%,0% for 12 months,Basic App,20%,Travel Insurance,95.41109081
All,$0 ,3%,0% for 12 months,Basic App,25%,None,338.350216
All,$0 ,3%,0% for 12 months,Basic App,25%,Airport Lounge,276.4223894
All,$0 ,3%,0% for 12 months,Basic App,25%,Travel Insurance,276.3667213
All,$0 ,3%,0% for 12 months,Basic App,30%,None,358.9392962
All,$0 ,3%,0% for 12 months,Basic App,30%,Airport Lounge,337.8464581
All,$0 ,3%,0% for 12 months,Basic App,30%,Travel Insurance,337.7119666
All,$0 ,3%,0% for 12 months,Spend Insights,15%,None,-106.1035477
All,$0 ,3%,0% for 12 months,Spend Insights,15%,Airport Lounge,-206.4509042
All,$0 ,3%,0% for 12 months,Spend Insights,15%,Travel Insurance,-206.4419622
All,$0 ,3%,0% for 12 months,Spend Insights,20%,None,178.7311166
All,$0 ,3%,0% for 12 months,Spend Insights,20%,Airport Lounge,87.41980793
All,$0 ,3%,0% for 12 months,Spend Insights,20%,Travel Insurance,87.41338505
All,$0 ,3%,0% for 12 months,Spend Insights,25%,None,350.6876655
All,$0 ,3%,0% for 12 months,Spend Insights,25%,Airport Lounge,275.5404373
All,$0 ,3%,0% for 12 months,Spend Insights,25%,Travel Insurance,275.5052302
All,$0 ,3%,0% for 12 months,Spend Insights,30%,None,394.5934567
All,$0 ,3%,0% for 12 months,Spend Insights,30%,Airport Lounge,350.3460069
All,$0 ,3%,0% for 12 months,Spend Insights,30%,Travel Insurance,350.2547326
All,$0 ,3%,0% for 12 months,Budget Coaching,15%,None,-116.1037416
All,$0 ,3%,0% for 12 months,Budget Coaching,15%,Airport Lounge,-216.5973587
All,$0 ,3%,0% for 12 months,Budget Coaching,15%,Travel Insurance,-216.5887731
All,$0 ,3%,0% for 12 months,Budget Coaching,20%,None,170.1941034
All,$0 ,3%,0% for 12 months,Budget Coaching,20%,Airport Lounge,77.89895241
All,$0 ,3%,0% for 12 months,Budget Coaching,20%,Travel Insurance,77.89370928
All,$0 ,3%,0% for 12 months,Budget Coaching,25%,None,344.6898971
All,$0 ,3%,0% for 12 months,Budget Coaching,25%,Airport Lounge,267.1871014
All,$0 ,3%,0% for 12 months,Budget Coaching,25%,Travel Insurance,267.1557688
All,$0 ,3%,0% for 12 months,Budget Coaching,30%,None,393.1370882
All,$0 ,3%,0% for 12 months,Budget Coaching,30%,Airport Lounge,344.3803087
All,$0 ,3%,0% for 12 months,Budget Coaching,30%,Travel Insurance,344.297594
All,$0 ,3%,0% for 18 months,Basic App,15%,None,-335.730384
All,$0 ,3%,0% for 18 months,Basic App,15%,Airport Lounge,-441.2211142
All,$0 ,3%,0% for 18 months,Basic App,15%,Travel Insurance,-441.1990543
All,$0 ,3%,0% for 18 months,Basic App,20%,None,-46.59948995
All,$0 ,3%,0% for 18 months,Basic App,20%,Airport Lounge,-145.0451823
All,$0 ,3%,0% for 18 months,Basic App,20%,Travel Insurance,-145.0329038
All,$0 ,3%,0% for 18 months,Basic App,25%,None,132.7733286
All,$0 ,3%,0% for 18 months,Basic App,25%,Airport Lounge,47.13704605
All,$0 ,3%,0% for 18 months,Basic App,25%,Travel Insurance,47.13012956
All,$0 ,3%,0% for 18 months,Basic App,30%,None,195.3368509
All,$0 ,3%,0% for 18 months,Basic App,30%,Airport Lounge,132.6259719
All,$0 ,3%,0% for 18 months,Basic App,30%,Travel Insurance,132.5866123
All,$0 ,3%,0% for 18 months,Spend Insights,15%,None,-350.8260429
All,$0 ,3%,0% for 18 months,Spend Insights,15%,Airport Lounge,-454.4371142
All,$0 ,3%,0% for 18 months,Spend Insights,15%,Travel Insurance,-454.4230295
All,$0 ,3%,0% for 18 months,Spend Insights,20%,None,-57.42199123
All,$0 ,3%,0% for 18 months,Spend Insights,20%,Airport Lounge,-156.7065226
All,$0 ,3%,0% for 18 months,Spend Insights,20%,Travel Insurance,-156.6982557
All,$0 ,3%,0% for 18 months,Spend Insights,25%,None,129.6507517
All,$0 ,3%,0% for 18 months,Spend Insights,25%,Airport Lounge,38.55913745
All,$0 ,3%,0% for 18 months,Spend Insights,25%,Travel Insurance,38.55557793
All,$0 ,3%,0% for 18 months,Spend Insights,30%,None,204.7487191
All,$0 ,3%,0% for 18 months,Spend Insights,30%,Airport Lounge,129.5580951
All,$0 ,3%,0% for 18 months,Spend Insights,30%,Travel Insurance,129.5333336
All,$0 ,3%,0% for 18 months,Budget Coaching,15%,None,-361.364792
All,$0 ,3%,0% for 18 months,Budget Coaching,15%,Airport Lounge,-464.8005776
All,$0 ,3%,0% for 18 months,Budget Coaching,15%,Travel Insurance,-464.7873995
All,$0 ,3%,0% for 18 months,Budget Coaching,20%,None,-67.2413009
All,$0 ,3%,0% for 18 months,Budget Coaching,20%,Airport Lounge,-166.7965586
All,$0 ,3%,0% for 18 months,Budget Coaching,20%,Travel Insurance,-166.7885034
All,$0 ,3%,0% for 18 months,Budget Coaching,25%,None,121.1618427
All,$0 ,3%,0% for 18 months,Budget Coaching,25%,Airport Lounge,29.00940496
All,$0 ,3%,0% for 18 months,Budget Coaching,25%,Travel Insurance,29.00695014
All,$0 ,3%,0% for 18 months,Budget Coaching,30%,None,198.7330269
All,$0 ,3%,0% for 18 months,Budget Coaching,30%,Airport Lounge,121.082203
All,$0 ,3%,0% for 18 months,Budget Coaching,30%,Travel Insurance,121.0609187
All,$95 ,1%,None,Basic App,15%,None,262.3078921
All,$95 ,1%,None,Basic App,15%,Airport Lounge,373.3925933
All,$95 ,1%,None,Basic App,15%,Travel Insurance,372.8857669
All,$95 ,1%,None,Basic App,20%,None,232.4376823
All,$95 ,1%,None,Basic App,20%,Airport Lounge,372.62892
All,$95 ,1%,None,Basic App,20%,Travel Insurance,371.9999479
All,$95 ,1%,None,Basic App,25%,None,166.807811
All,$95 ,1%,None,Basic App,25%,Airport Lounge,291.2230768
All,$95 ,1%,None,Basic App,25%,Travel Insurance,290.645681
All,$95 ,1%,None,Basic App,30%,None,88.56263114
All,$95 ,1%,None,Basic App,30%,Airport Lounge,165.3989895
All,$95 ,1%,None,Basic App,30%,Travel Insurance,165.0261815
All,$95 ,1%,None,Spend Insights,15%,None,356.2848976
All,$95 ,1%,None,Spend Insights,15%,Airport Lounge,463.2138658
All,$95 ,1%,None,Spend Insights,15%,Travel Insurance,462.7277211
All,$95 ,1%,None,Spend Insights,20%,None,334.0096824
All,$95 ,1%,None,Spend Insights,20%,Airport Lounge,494.8263262
All,$95 ,1%,None,Spend Insights,20%,Travel Insurance,494.1374516
All,$95 ,1%,None,Spend Insights,25%,None,250.454447
All,$95 ,1%,None,Spend Insights,25%,Airport Lounge,411.7824234
All,$95 ,1%,None,Spend Insights,25%,Travel Insurance,411.0664882
All,$95 ,1%,None,Spend Insights,30%,None,137.8776615
All,$95 ,1%,None,Spend Insights,30%,Airport Lounge,248.4851843
All,$95 ,1%,None,Spend Insights,30%,Travel Insurance,247.9636827
All,$95 ,1%,None,Budget Coaching,15%,None,371.3790499
All,$95 ,1%,None,Budget Coaching,15%,Airport Lounge,474.0594677
All,$95 ,1%,None,Budget Coaching,15%,Travel Insurance,473.5881409
All,$95 ,1%,None,Budget Coaching,20%,None,353.0395007
All,$95 ,1%,None,Budget Coaching,20%,Airport Lounge,514.3771542
All,$95 ,1%,None,Budget Coaching,20%,Travel Insurance,513.6905504
All,$95 ,1%,None,Budget Coaching,25%,None,267.5320867
All,$95 ,1%,None,Budget Coaching,25%,Airport Lounge,433.9930906
All,$95 ,1%,None,Budget Coaching,25%,Travel Insurance,433.2606356
All,$95 ,1%,None,Budget Coaching,30%,None,148.5632317
All,$95 ,1%,None,Budget Coaching,30%,Airport Lounge,265.4635447
All,$95 ,1%,None,Budget Coaching,30%,Travel Insurance,264.9156605
All,$95 ,1%,0% for 12 months,Basic App,15%,None,196.2919051
All,$95 ,1%,0% for 12 months,Basic App,15%,Airport Lounge,200.1510518
All,$95 ,1%,0% for 12 months,Basic App,15%,Travel Insurance,199.9862534
All,$95 ,1%,0% for 12 months,Basic App,20%,None,253.8331881
All,$95 ,1%,0% for 12 months,Basic App,20%,Airport Lounge,328.0750716
All,$95 ,1%,0% for 12 months,Basic App,20%,Travel Insurance,327.6982909
All,$95 ,1%,0% for 12 months,Basic App,25%,None,218.8174304
All,$95 ,1%,0% for 12 months,Basic App,25%,Airport Lounge,324.942915
All,$95 ,1%,0% for 12 months,Basic App,25%,Travel Insurance,324.4512433
All,$95 ,1%,0% for 12 months,Basic App,30%,None,129.8103496
All,$95 ,1%,0% for 12 months,Basic App,30%,Airport Lounge,217.2296478
All,$95 ,1%,0% for 12 months,Basic App,30%,Travel Insurance,216.8088448
All,$95 ,1%,0% for 12 months,Spend Insights,15%,None,237.2426322
